,Year,Invested,Current Value,Month
0,1.,2500.0,2500.0,1.0
0,1.,5000.0,5041.666666666666,2.0
0,1.,7500.0,7625.694444444443,3.0
0,1.,10000.0,10252.78935185185,4.0
0,1.,12500.0,12923.669174382714,5.0
0,1.,15000.0,15639.063660622425,6.0
0,1.,17500.0,18399.7147216328,7.0
0,1.,20000.0,21206.376633660013,8.0
0,1.,22500.0,24059.816244221012,9.0
0,1.,25000.0,26960.813181624697,10.0
0,1.,27500.0,29910.160067985107,11.0
0,2.,30000.0,32908.66273578486,12.0
0,2.,32500.0,35957.14044804795,13.0
0,2.,35000.0,39056.42612218208,14.0
0,2.,37500.0,42207.36655755178,15.0
0,2.,40000.0,45410.82266684431,16.0
0,2.,42500.0,48667.66971129172,17.0
0,2.,45000.0,51978.79753981325,18.0
0,2.,47500.0,55345.110832143466,19.0
0,2.,50000.0,58767.529346012525,20.0
0,2.,52500.0,62246.98816844607,21.0
0,2.,55000.0,65784.4379712535,22.0
0,2.,57500.0,69380.84527077439,23.0
0,3.,60000.0,73037.19269195395,24.0
0,3.,62500.0,76754.47923681985,25.0
0,3.,65000.0,80533.72055743352,26.0
0,3.,67500.0,84375.94923339075,27.0
0,3.,70000.0,88282.21505394726,28.0
0,3.,72500.0,92253.58530484639,29.0
0,3.,75000.0,96291.14505992716,30.0
0,3.,77500.0,100395.99747759261,31.0
0,3.,80000.0,104569.26410221915,32.0
0,3.,82500.0,108812.08517058947,33.0
0,3.,85000.0,113125.61992343263,34.0
0,3.,87500.0,117511.04692215651,35.0
0,4.,90000.0,121969.56437085912,36.0
0,4.,92500.0,126502.39044370677,37.0
0,4.,95000.0,131110.76361776853,38.0
0,4.,97500.0,135795.94301139802,39.0
0,4.,100000.0,140559.20872825466,40.0
0,4.,102500.0,145401.8622070589,41.0
0,4.,105000.0,150325.22657717657,42.0
0,4.,107500.0,155330.64702012952,43.0
0,4.,110000.0,160419.49113713167,44.0
0,4.,112500.0,165593.14932275054,45.0
0,4.,115000.0,170853.0351447964,46.0
0,4.,117500.0,176200.585730543,47.0
0,5.,120000.0,181637.2621593854,48.0
0,5.,122500.0,187164.5498620418,49.0
0,5.,125000.0,192783.95902640917,50.0
0,5.,127500.0,198497.02501018267,51.0
0,5.,130000.0,204305.30876035237,52.0
0,5.,132500.0,210210.39723969158,53.0
0,5.,135000.0,216213.9038603531,54.0
0,5.,137500.0,222317.46892469234,55.0
0,5.,140000.0,228522.7600734372,56.0
0,5.,142500.0,234831.47274132783,57.0
0,5.,145000.0,241245.33062034997,58.0
0,5.,147500.0,247766.08613068913,59.0
0,6.,150000.0,254395.52089953396,60.0
0,6.,152500.0,261135.44624785954,61.0
0,6.,155000.0,267987.7036853239,62.0
0,6.,157500.0,274954.1654134126,63.0
0,6.,160000.0,282036.73483696947,64.0
0,6.,162500.0,289237.3470842523,65.0
0,6.,165000.0,296557.9695356565,66.0
0,6.,167500.0,304000.6023612508,67.0
0,6.,170000.0,311567.2790672716,68.0
0,6.,172500.0,319260.06705172616,69.0
0,6.,175000.0,327081.0681692549,70.0
0,6.,177500.0,335032.4193054092,71.0
0,7.,180000.0,343116.29296049936,72.0
0,7.,182500.0,351334.89784317435,73.0
0,7.,185000.0,359690.47947389394,74.0
0,7.,187500.0,368185.3207984588,75.0
0,7.,190000.0,376821.74281176645,76.0
0,7.,192500.0,385602.10519196256,77.0
0,7.,195000.0,394528.80694516195,78.0
0,7.,197500.0,403604.2870609147,79.0
0,7.,200000.0,412831.0251785966,80.0
0,7.,202500.0,422211.5422649066,81.0
0,7.,205000.0,431748.401302655,82.0
0,7.,207500.0,441444.20799103257,83.0
0,8.,210000.0,451301.6114575498,84.0
0,8.,212500.0,461323.3049818423,85.0
0,8.,215000.0,471512.02673153963,86.0
0,8.,217500.0,481870.56051039865,87.0
0,8.,220000.0,492401.73651890527,88.0
0,8.,222500.0,503108.4321275537,89.0
0,8.,225000.0,513993.5726630129,90.0
0,8.,227500.0,525060.1322073964,91.0
0,8.,230000.0,536311.134410853,92.0
0,8.,232500.0,547749.6533177006,93.0
0,8.,235000.0,559378.8142063289,94.0
0,8.,237500.0,571201.794443101,95.0
0,9.,240000.0,583221.824350486,96.0
0,9.,242500.0,595442.1880896608,97.0
0,9.,245000.0,607866.2245578219,98.0
0,9.,247500.0,620497.3283004522,99.0
0,9.,250000.0,633338.950438793,100.0
0,9.,252500.0,646394.5996127729,101.0
0,9.,255000.0,659667.8429396525,102.0
0,9.,257500.0,673162.3069886467,103.0
0,9.,260000.0,686881.6787717908,104.0
0,9.,262500.0,700829.7067513206,105.0
0,9.,265000.0,715010.2018638427,106.0
0,9.,267500.0,729427.0385615734,107.0
0,10.,270000.0,744084.155870933,108.0
0,10.,272500.0,758985.5584687819,109.0
0,10.,275000.0,774135.3177765949,110.0
0,10.,277500.0,789537.5730728714,111.0
0,10.,280000.0,805196.5326240859,112.0
0,10.,282500.0,821116.4748344873,113.0
0,10.,285000.0,837301.7494150621,114.0
0,10.,287500.0,853756.7785719798,115.0
0,10.,290000.0,870486.0582148462,116.0
0,10.,292500.0,887494.1591850936,117.0
0,10.,295000.0,904785.7285048452,118.0
0,10.,297500.0,922365.4906465926,119.0
0,11.,300000.0,940238.2488240357,120.0
0,11.,302500.0,958408.8863044364,121.0
0,11.,305000.0,976882.3677428437,122.0
0,11.,307500.0,995663.7405385578,123.0
0,11.,310000.0,1014758.1362142004,124.0
0,11.,312500.0,1034170.7718177704,125.0
0,11.,315000.0,1053906.9513480666,126.0
0,11.,317500.0,1073972.0672038677,127.0
0,11.,320000.0,1094371.6016572656,128.0
0,11.,322500.0,1115111.1283515533,129.0
0,11.,325000.0,1136196.3138240792,130.0
0,11.,327500.0,1157632.9190544805,131.0
0,12.,330000.0,1179426.8010387218,132.0
0,12.,332500.0,1201583.9143893672,133.0
0,12.,335000.0,1224110.3129625234,134.0
0,12.,337500.0,1247012.1515118987,135.0
0,12.,340000.0,1270295.6873704304,136.0
0,12.,342500.0,1293967.2821599375,137.0
0,12.,345000.0,1318033.4035292699,138.0
0,12.,347500.0,1342500.6269214244,139.0
0,12.,350000.0,1367375.637370115,140.0
0,12.,352500.0,1392665.2313262834,141.0
0,12.,355000.0,1418376.3185150549,142.0
0,12.,357500.0,1444515.923823639,143.0
0,13.,360000.0,1471091.1892206997,144.0
0,13.,362500.0,1498109.3757077113,145.0
0,13.,365000.0,1525577.8653028398,146.0
0,13.,367500.0,1553504.163057887,147.0
0,13.,370000.0,1581895.8991088518,148.0
0,13.,372500.0,1610760.830760666,149.0
0,13.,375000.0,1640106.844606677,150.0
0,13.,377500.0,1669941.9586834551,151.0
0,13.,380000.0,1700274.3246615126,152.0
0,13.,382500.0,1731112.230072538,153.0
0,13.,385000.0,1762464.100573747,154.0
0,13.,387500.0,1794338.5022499762,155.0
0,14.,390000.0,1826744.1439541425,156.0
0,14.,392500.0,1859689.8796867116,157.0
0,14.,395000.0,1893184.7110148235,158.0
0,14.,397500.0,1927237.7895317373,159.0
0,14.,400000.0,1961858.4193572663,160.0
0,14.,402500.0,1997056.0596798875,161.0
0,14.,405000.0,2032840.327341219,162.0
0,14.,407500.0,2069220.9994635726,163.0
0,14.,410000.0,2106208.016121299,164.0
0,14.,412500.0,2143811.483056654,165.0
0,14.,415000.0,2182041.674440932,166.0
0,14.,417500.0,2220909.035681614,167.0
0,15.,420000.0,2260424.186276308,168.0
0,15.,422500.0,2300597.9227142464,169.0
0,15.,425000.0,2341441.2214261508,170.0
0,15.,427500.0,2382965.2417832534,171.0
0,15.,430000.0,2425181.3291463074,172.0
0,15.,432500.0,2468101.0179654127,173.0
0,15.,435000.0,2511736.034931503,174.0
0,15.,437500.0,2556098.302180361,175.0
0,15.,440000.0,2601199.9405500335,176.0
0,15.,442500.0,2647053.272892534,177.0
0,15.,445000.0,2693670.827440743,178.0
0,15.,447500.0,2741065.341231422,179.0
0,16.,450000.0,2789249.763585279,180.0
0,16.,452500.0,2838237.259645034,181.0
